data;article;color;desc_article;passadis;estanteria;altura;quantitat
05/11/2023, 14:03:44;4597702;845;Crs Lft Tiara ;K;21;0;1452;
05/11/2023, 14:03:44;4053534;897;Rght Tiara ;D;21;3;23;
05/11/2023, 14:03:44;4197081;580;Force Force Tribute Rght ;A;14;1;1295;
05/11/2023, 14:03:44;4485644;658;Crs Rght ;E;1;3;5995;
05/11/2023, 14:03:44;4842737;542;Pendant Lft ;I;13;0;2192;
05/11/2023, 14:03:44;4673465;582;Force Tiara Tribute ;F;20;3;889;
05/11/2023, 14:03:44;4934612;256;Rght Force ;D;21;1;5583;
05/11/2023, 14:03:44;4401816;436;Lft Pendant Pendant Pendant ;F;18;2;7363;
05/11/2023, 14:03:44;4475670;512;Pendant Force ;C;14;1;4068;
05/11/2023, 14:03:44;4988185;852;Pendant Tiara Crs ;A;11;3;1928;
05/11/2023, 14:03:44;4142171;580;Lft Tribute Lft Lft ;F;1;1;7620;
05/11/2023, 14:03:44;4325251;542;Rght Pendant Pendant ;F;6;1;1921;
05/11/2023, 14:03:44;4060346;312;Force Pendant Tiara Rght ;J;22;3;6708;
05/11/2023, 14:03:44;4586107;845;Lft Crs Rght Tiara ;A;3;0;7413;
05/11/2023, 14:03:44;4511932;582;Tribute Tribute Force Crs ;K;15;3;4098;
05/11/2023, 14:03:44;4470862;580;Crs Lft Rght ;B;14;0;55;
05/11/2023, 14:03:44;4772064;582;Crs Rght ;E;14;0;6737;
05/11/2023, 14:03:44;4112363;845;Tribute Crs Force ;I;24;3;2711;
05/11/2023, 14:03:44;4042276;542;Lft Tribute Force Lft ;C;4;0;6409;
05/11/2023, 14:03:44;4204264;312;Tiara Lft Tribute ;A;20;0;6053;
05/11/2023, 14:03:44;4256796;436;Rght Tiara ;D;6;0;467;
05/11/2023, 14:03:44;4340764;582;Tribute Rght ;K;25;2;71;
05/11/2023, 14:03:44;4766980;436;Pendant Tribute ;G;7;3;4190;
05/11/2023, 14:03:44;4939577;958;Lft Tiara Force ;E;14;0;7514;
05/11/2023, 14:03:44;4412611;845;Pendant Tiara ;A;1;3;8445;
05/11/2023, 14:03:44;4117271;658;Pendant Force Crs Force ;I;25;0;3293;
05/11/2023, 14:03:44;4649013;897;Tribute Rght Crs Rght ;E;21;2;5074;
05/11/2023, 14:03:44;4640021;512;Tribute Tiara Crs Force ;B;16;1;2867;
05/11/2023, 14:03:44;4151861;845;Tribute Rght Tiara ;K;21;0;9490;
05/11/2023, 14:03:44;4523500;512;Tribute Force ;H;16;1;4716;
05/11/2023, 14:03:44;4106526;580;Tiara Crs Crs ;E;25;2;2613;
05/11/2023, 14:03:44;4516424;852;Force Tribute ;G;18;1;8496;
05/11/2023, 14:03:44;4895098;582;Tribute Tribute Rght ;H;3;1;5953;
05/11/2023, 14:03:44;4112363;987;Tribute Crs Force ;J;16;2;2413;
05/11/2023, 14:03:44;4045663;897;Crs Lft Pendant ;G;4;1;3901;
05/11/2023, 14:03:44;4104720;512;Tiara Lft Lft ;A;9;1;5078;
05/11/2023, 14:03:44;4872447;582;Force Lft ;F;13;2;2107;
05/11/2023, 14:03:44;4673465;542;Force Tiara Tribute ;A;23;3;8023;
05/11/2023, 14:03:44;4112363;658;Tribute Crs Force ;B;12;2;1811;
05/11/2023, 14:03:44;4471526;897;Force Force Tiara Tiara ;G;9;2;544;
05/11/2023, 14:03:44;4597702;436;Crs Lft Tiara ;D;13;1;3709;
05/11/2023, 14:03:44;4378617;436;Crs Force ;H;18;3;2135;
05/11/2023, 14:03:44;4243183;256;Rght Lft Crs ;E;24;3;6646;
05/11/2023, 14:03:44;4321795;580;Tribute Tribute Tribute Tribute ;G;5;2;8397;
05/11/2023, 14:03:44;4574105;436;Lft Crs ;A;9;2;1112;
05/11/2023, 14:03:44;4082767;580;Rght Tribute ;G;20;3;1460;
05/11/2023, 14:03:44;4247697;658;Crs Force Lft ;I;22;0;2273;
05/11/2023, 14:03:44;4871938;512;Tiara Crs ;F;4;2;1845;
05/11/2023, 14:03:44;4898742;582;Rght Crs ;C;14;2;582;
05/11/2023, 14:03:44;4112363;658;Tribute Crs Force ;H;12;1;5248;
05/11/2023, 14:03:44;4532522;580;Lft Rght ;F;9;2;1900;
05/11/2023, 14:03:44;4898742;436;Rght Crs ;F;21;1;7557;
05/11/2023, 14:03:44;4972861;542;Tiara Force Tiara ;C;14;3;8960;
05/11/2023, 14:03:44;4801506;436;Pendant Lft Tribute Crs ;G;13;0;2506;
05/11/2023, 14:03:44;4700222;958;Force Force Lft ;F;4;2;7011;
05/11/2023, 14:03:44;4602332;845;Lft Pendant Lft ;I;9;2;3920;
05/11/2023, 14:03:44;4295590;580;Tiara Force ;I;5;3;9111;
05/11/2023, 14:03:44;4815981;256;Tiara Pendant Tiara Force ;A;20;1;7709;
05/11/2023, 14:03:44;4321795;580;Tribute Tribute Tribute Tribute ;I;14;3;8823;
05/11/2023, 14:03:44;4325251;852;Rght Pendant Pendant ;I;3;2;6638;
05/11/2023, 14:03:44;4060346;436;Force Pendant Tiara Rght ;F;17;1;6536;
05/11/2023, 14:03:44;4431450;958;Pendant Tribute ;I;9;1;4144;
05/11/2023, 14:03:44;4256796;256;Rght Tiara ;C;17;0;8171;
05/11/2023, 14:03:44;4123466;436;Lft Pendant Pendant Tribute ;G;23;0;4597;
05/11/2023, 14:03:44;4104720;897;Tiara Lft Lft ;E;25;1;4708;
05/11/2023, 14:03:44;4946412;436;Force Tribute Lft Tribute ;D;6;0;4459;
05/11/2023, 14:03:44;4412611;987;Pendant Tiara ;F;4;3;6307;
05/11/2023, 14:03:44;4738043;897;Lft Tiara Pendant ;G;21;3;4802;
05/11/2023, 14:03:44;4082767;312;Rght Tribute ;F;8;0;6797;
05/11/2023, 14:03:44;4586107;542;Lft Crs Rght Tiara ;F;3;2;1491;
05/11/2023, 14:03:44;4649013;542;Tribute Rght Crs Rght ;G;13;2;2445;
05/11/2023, 14:03:44;4532522;845;Lft Rght ;D;7;3;3273;
05/11/2023, 14:03:44;4201973;580;Pendant Pendant Lft Crs ;D;22;0;8114;
05/11/2023, 14:03:44;4923670;987;Pendant Tribute Rght ;A;5;1;8912;
05/11/2023, 14:03:44;4211663;845;Lft Lft ;K;3;1;3526;
05/11/2023, 14:03:44;4795245;845;Tribute Pendant ;E;19;3;337;
05/11/2023, 14:03:44;4247697;512;Crs Force Lft ;H;10;1;8156;
05/11/2023, 14:03:44;4243183;436;Rght Lft Crs ;I;4;1;5534;
